Date,High,Low,Open,Close,Volume,Adj Close
2018-01-02,26.5,25.5,26.0,26.0,28500.0,23.93128204345703
2018-01-03,26.5,26.0,26.5,26.0,17100.0,23.93128204345703
2018-01-04,26.5,26.0,26.5,26.299999237060547,6000.0,24.20741081237793
2018-01-05,26.5,26.0,26.5,26.299999237060547,8400.0,24.20741081237793
2018-01-08,26.5,26.0,26.5,26.0,4300.0,23.93128204345703
2018-01-09,26.5,26.0,26.0,26.0,3500.0,23.93128204345703
2018-01-10,26.5,26.0,26.5,26.5,2900.0,24.391498565673828
2018-01-11,27.5,26.0,26.5,27.0,26100.0,24.851716995239258
2018-01-12,27.5,26.5,27.0,27.0,16100.0,24.851716995239258
2018-01-16,27.5,26.5,27.5,27.0,5000.0,24.851716995239258
2018-01-17,27.0,26.5,27.0,26.5,9300.0,24.391498565673828
2018-01-18,27.5,26.0,27.5,26.799999237060547,3500.0,24.667627334594727
2018-01-19,27.0,26.0,27.0,26.0,3400.0,23.93128204345703
2018-01-22,26.5,26.0,26.0,26.0,4300.0,23.93128204345703
2018-01-23,26.5,26.0,26.5,26.0,9100.0,23.93128204345703
2018-01-24,26.5,25.0,26.0,25.0,9300.0,23.010847091674805
2018-01-25,26.0,24.5,25.5,25.0,6100.0,23.010847091674805
2018-01-26,25.5,24.5,25.5,25.0,5100.0,23.010847091674805
2018-01-29,25.0,24.5,25.0,24.700000762939453,9700.0,22.734718322753906
2018-01-30,25.299999237060547,24.5,25.0,24.5,7000.0,22.550630569458008
2018-01-31,25.0,23.5,24.5,23.5,5200.0,21.630197525024414
2018-02-01,24.5,23.0,23.5,23.0,8100.0,21.169981002807617
2018-02-02,23.5,21.5,22.5,22.5,9700.0,20.70976448059082
2018-02-05,23.5,22.0,23.0,22.5,7700.0,20.70976448059082
2018-02-06,23.0,22.0,22.5,22.5,5600.0,20.70976448059082
2018-02-07,23.0,22.0,22.5,22.0,9600.0,20.24954605102539
2018-02-08,22.5,22.0,22.5,22.5,8000.0,20.70976448059082
2018-02-09,23.0,21.5,22.5,23.0,10900.0,21.169981002807617
2018-02-12,23.5,23.0,23.0,23.0,4100.0,21.169981002807617
2018-02-13,23.5,23.0,23.5,23.5,3000.0,21.630197525024414
2018-02-14,23.5,22.0,23.0,22.5,10800.0,21.20607566833496
2018-02-15,23.0,22.5,22.5,22.5,2400.0,21.20607566833496
2018-02-16,23.5,22.0,23.0,23.0,3900.0,21.67732048034668
2018-02-20,23.5,22.5,23.0,23.0,5100.0,21.67732048034668
2018-02-21,23.5,22.600000381469727,23.0,23.5,3600.0,22.14856719970703
2018-02-22,23.5,23.0,23.5,23.5,6000.0,22.14856719970703
2018-02-23,22.0,20.5,21.5,20.5,16800.0,19.321090698242188
2018-02-26,22.0,20.5,21.5,21.0,6500.0,19.79233741760254
2018-02-27,21.5,20.0,21.0,20.5,4600.0,19.321090698242188
2018-02-28,21.5,20.5,21.0,20.5,7200.0,19.321090698242188
2018-03-01,21.5,20.5,21.0,21.5,3700.0,20.26358413696289
2018-03-02,21.5,20.5,21.5,20.799999237060547,4000.0,19.603837966918945
2018-03-05,21.0,19.5,20.5,19.5,7600.0,18.378599166870117
2018-03-06,20.5,19.5,19.5,20.0,5100.0,18.84984588623047
2018-03-07,21.0,20.0,20.0,20.0,4900.0,18.84984588623047
2018-03-08,21.0,20.5,20.5,21.0,5400.0,19.79233741760254
2018-03-09,21.0,20.200000762939453,21.0,20.5,2600.0,19.321090698242188
2018-03-12,21.0,20.0,21.0,20.5,3200.0,19.321090698242188
2018-03-13,21.0,19.5,21.0,20.0,5300.0,18.84984588623047
2018-03-14,20.5,19.0,20.5,19.299999237060547,6300.0,18.190099716186523
2018-03-15,19.5,18.5,19.0,18.5,5700.0,17.436105728149414
2018-03-16,19.0,18.100000381469727,18.5,19.0,4900.0,17.907352447509766
2018-03-19,18.5,17.5,18.5,17.5,6900.0,16.493614196777344
2018-03-20,18.0,17.5,18.0,18.0,3300.0,16.964860916137695
2018-03-21,18.0,17.0,18.0,17.5,12900.0,16.493614196777344
2018-03-22,17.5,17.0,17.5,17.0,2100.0,16.022369384765625
2018-03-23,17.5,17.0,17.5,17.5,2800.0,16.493614196777344
2018-03-26,17.5,15.5,17.5,16.0,13300.0,15.079875946044922
2018-03-27,16.600000381469727,15.5,16.0,16.0,4800.0,15.079875946044922
2018-03-28,16.0,15.0,16.0,15.5,5700.0,14.60862922668457
2018-03-29,16.0,15.0,15.5,15.5,1100.0,14.60862922668457
2018-04-02,16.0,15.0,16.0,15.0,4900.0,14.137383460998535
2018-04-03,16.0,15.0,16.0,15.0,6400.0,14.137383460998535
2018-04-04,15.5,14.5,15.5,14.5,6600.0,13.6661376953125
2018-04-05,15.0,13.5,14.5,14.0,18800.0,13.194891929626465
2018-04-06,14.0,13.5,14.0,14.0,5900.0,13.194891929626465
2018-04-09,14.0,12.5,14.0,13.0,18500.0,12.252399444580078
2018-04-10,13.5,12.5,12.5,13.5,36900.0,12.723645210266113
2018-04-11,14.5,13.0,14.5,13.5,6500.0,12.723645210266113
2018-04-12,14.0,12.5,12.5,13.5,7300.0,12.723645210266113
2018-04-13,14.0,13.5,13.5,14.0,3500.0,13.194891929626465
2018-04-16,14.0,13.5,14.0,13.5,6500.0,12.723645210266113
2018-04-17,14.5,13.5,13.5,14.5,4400.0,13.6661376953125
2018-04-18,15.0,13.600000381469727,14.5,14.0,7600.0,13.194891929626465
2018-04-19,14.5,13.600000381469727,14.0,14.0,2300.0,13.194891929626465
2018-04-20,14.0,13.600000381469727,14.0,13.800000190734863,2100.0,13.006393432617188
2018-04-23,14.5,13.5,14.0,14.0,3300.0,13.194891929626465
2018-04-24,15.0,13.5,13.5,14.5,10300.0,13.6661376953125
2018-04-25,15.0,14.0,15.0,14.5,8000.0,13.6661376953125
2018-04-26,15.0,14.0,14.0,15.0,2400.0,14.137383460998535
2018-04-27,15.0,14.0,15.0,14.0,6100.0,13.194891929626465
2018-04-30,15.0,14.5,14.5,15.0,12800.0,14.137383460998535
2018-05-01,16.0,14.5,14.5,15.5,10800.0,14.60862922668457
2018-05-02,17.0,15.600000381469727,16.0,16.0,10400.0,15.079875946044922
2018-05-03,18.0,16.100000381469727,16.5,16.5,9700.0,15.551122665405273
2018-05-04,17.5,16.5,17.0,16.5,6600.0,15.551122665405273
2018-05-07,18.0,17.0,17.0,18.0,8500.0,16.964860916137695
2018-05-08,18.0,17.299999237060547,18.0,17.5,2500.0,16.493614196777344
2018-05-09,18.0,17.5,17.5,18.0,4000.0,16.964860916137695
2018-05-10,18.5,18.0,18.0,18.5,4800.0,17.436105728149414
2018-05-11,19.0,18.0,19.0,19.0,7400.0,17.907352447509766
2018-05-14,20.0,18.5,19.0,19.5,11000.0,18.926469802856445
2018-05-15,19.5,18.0,19.5,18.0,6200.0,17.47058868408203
2018-05-16,18.399999618530273,16.0,18.0,17.0,29500.0,16.5
2018-05-17,17.5,16.0,17.5,17.5,18500.0,16.985294342041016
2018-05-18,18.0,17.0,17.5,17.0,3400.0,16.5
2018-05-21,17.5,16.5,17.5,16.799999237060547,2400.0,16.30588150024414
2018-05-22,17.5,16.600000381469727,17.0,17.5,3800.0,16.985294342041016
2018-05-23,17.5,16.5,17.5,17.0,2700.0,16.5
2018-05-24,17.0,16.5,17.0,16.5,2400.0,16.014705657958984
2018-05-25,16.5,16.0,16.5,16.5,2300.0,16.014705657958984
2018-05-29,16.5,15.0,16.5,15.0,4400.0,14.558822631835938
2018-05-30,16.5,15.5,16.0,16.0,5800.0,15.529411315917969
2018-05-31,17.0,16.0,16.5,16.5,6000.0,16.014705657958984
2018-06-01,17.0,16.5,16.5,17.0,2600.0,16.5
2018-06-04,17.0,16.200000762939453,16.5,16.5,5600.0,16.014705657958984
2018-06-05,17.5,16.600000381469727,17.5,17.0,3800.0,16.5
2018-06-06,17.5,16.5,16.5,17.0,5900.0,16.5
2018-06-07,18.0,16.5,18.0,17.5,3200.0,16.985294342041016
2018-06-08,17.5,16.5,17.0,16.5,4300.0,16.014705657958984
2018-06-11,17.5,17.0,17.0,17.299999237060547,6900.0,16.791175842285156
2018-06-12,17.0,16.5,17.0,17.0,3800.0,16.5
2018-06-13,17.5,16.5,17.0,17.0,3400.0,16.5
2018-06-14,17.0,16.5,17.0,17.0,3000.0,16.5
2018-06-15,17.0,16.5,17.0,16.5,3300.0,16.014705657958984
2018-06-18,17.0,16.5,17.0,16.799999237060547,6400.0,16.30588150024414
2018-06-19,17.0,16.5,17.0,16.5,3000.0,16.014705657958984
2018-06-20,17.0,16.5,17.0,16.799999237060547,7400.0,16.30588150024414
2018-06-21,17.0,16.5,17.0,17.0,1300.0,16.5
2018-06-22,17.0,16.5,16.5,16.799999237060547,3800.0,16.30588150024414
2018-06-25,17.0,16.5,17.0,16.5,1600.0,16.014705657958984
2018-06-26,17.0,16.5,17.0,16.5,2700.0,16.014705657958984
2018-06-27,17.0,16.5,16.5,16.799999237060547,2000.0,16.30588150024414
2018-06-28,17.0,16.5,16.5,16.5,7400.0,16.014705657958984
2018-06-29,16.5,15.0,16.5,15.5,9500.0,15.044116973876953
2018-07-02,16.0,15.100000381469727,15.5,15.5,2000.0,15.044116973876953
2018-07-03,16.0,15.5,15.5,16.0,900.0,15.529411315917969
2018-07-05,16.5,15.5,15.5,16.5,2100.0,16.014705657958984
2018-07-06,16.5,16.0,16.0,16.299999237060547,3500.0,15.820587158203125
2018-07-09,16.5,16.0,16.5,16.0,1000.0,15.529411315917969
2018-07-10,17.0,16.0,16.5,16.5,3200.0,16.014705657958984
2018-07-11,17.0,16.0,17.0,16.299999237060547,3100.0,15.820587158203125
2018-07-12,16.5,16.100000381469727,16.5,16.5,700.0,16.014705657958984
2018-07-13,16.5,16.200000762939453,16.5,16.299999237060547,700.0,15.820587158203125
2018-07-16,16.5,16.0,16.5,16.299999237060547,1000.0,15.820587158203125
2018-07-17,16.5,16.0,16.5,16.5,1200.0,16.014705657958984
2018-07-18,16.5,16.0,16.0,16.0,3900.0,15.529411315917969
2018-07-19,16.5,16.0,16.5,16.299999237060547,1300.0,15.820587158203125
2018-07-20,16.5,16.0,16.5,16.0,1200.0,15.529411315917969
2018-07-23,17.0,16.0,17.0,16.5,3900.0,16.014705657958984
2018-07-24,17.0,16.5,17.0,16.5,1900.0,16.014705657958984
2018-07-25,17.0,16.5,16.5,17.0,7400.0,16.5
2018-07-26,17.0,16.5,17.0,16.5,6300.0,16.014705657958984
2018-07-27,17.0,16.5,16.5,17.0,5200.0,16.5
2018-07-30,17.0,16.5,17.0,16.5,8300.0,16.014705657958984
2018-07-31,17.0,16.5,16.5,16.5,4400.0,16.014705657958984
2018-08-01,17.0,16.0,17.0,16.299999237060547,4700.0,15.820587158203125
2018-08-02,18.0,16.5,17.0,17.799999237060547,30200.0,17.276470184326172
2018-08-03,18.0,17.5,18.0,17.5,7500.0,16.985294342041016
2018-08-06,18.600000381469727,18.0,18.0,18.5,14100.0,17.955881118774414
2018-08-07,19.0,18.0,18.5,18.5,4600.0,17.955881118774414
2018-08-08,19.0,18.0,19.0,18.5,8400.0,17.955881118774414
2018-08-09,19.0,18.5,19.0,18.5,4400.0,17.955881118774414
2018-08-10,19.5,18.5,19.0,18.5,13000.0,17.955881118774414
2018-08-13,19.0,18.5,19.0,19.0,5100.0,18.44117546081543
2018-08-14,19.5,18.5,19.0,18.700000762939453,8400.0,18.149999618530273
2018-08-15,19.0,18.5,19.0,19.0,8300.0,19.0
2018-08-16,19.0,17.5,19.0,18.0,8700.0,18.0
2018-08-17,18.0,17.5,18.0,18.0,1500.0,18.0
2018-08-20,18.0,17.5,18.0,17.799999237060547,1300.0,17.799999237060547
2018-08-21,18.0,17.5,17.5,17.5,5200.0,17.5
2018-08-22,18.0,17.5,17.5,17.5,1800.0,17.5
2018-08-23,18.0,17.5,17.5,17.5,2900.0,17.5
2018-08-24,18.0,17.5,17.5,17.5,2000.0,17.5
2018-08-27,18.0,17.0,18.0,17.0,8700.0,17.0
2018-08-28,17.5,16.5,17.5,16.5,5600.0,16.5
2018-08-29,17.399999618530273,16.5,17.0,17.0,4700.0,17.0
2018-08-30,17.5,16.5,17.5,16.799999237060547,3900.0,16.799999237060547
2018-08-31,17.5,16.5,17.0,16.5,6100.0,16.5
2018-09-04,17.5,16.5,17.0,17.5,7000.0,17.5
2018-09-05,17.5,17.0,17.5,17.299999237060547,2600.0,17.299999237060547
2018-09-06,17.5,17.0,17.5,17.5,4100.0,17.5
2018-09-07,17.5,17.0,17.5,17.0,7100.0,17.0
2018-09-10,18.5,17.5,18.0,17.799999237060547,37000.0,17.799999237060547
2018-09-11,18.0,16.0,17.5,16.0,31500.0,16.0
2018-09-12,16.5,15.0,16.0,15.5,32700.0,15.5
2018-09-13,15.5,15.0,15.5,15.5,15500.0,15.5
2018-09-14,15.5,15.0,15.0,15.0,7100.0,15.0
2018-09-17,15.5,15.0,15.5,15.5,7400.0,15.5
2018-09-18,15.5,13.5,15.0,14.0,19400.0,14.0
2018-09-19,15.5,14.0,14.0,14.800000190734863,6500.0,14.800000190734863
2018-09-20,15.5,14.5,15.0,14.800000190734863,9900.0,14.800000190734863
2018-09-21,15.0,14.5,14.5,15.0,7800.0,15.0
2018-09-24,15.0,14.0,15.0,15.0,9000.0,15.0
2018-09-25,15.5,14.5,15.0,15.0,12200.0,15.0
2018-09-26,15.5,15.0,15.0,15.5,5100.0,15.5
2018-09-27,15.5,15.0,15.0,15.5,5400.0,15.5
2018-09-28,15.5,15.0,15.5,15.0,20700.0,15.0
2018-10-01,15.899999618530273,14.5,15.100000381469727,14.699999809265137,11400.0,14.699999809265137
2018-10-02,15.300000190734863,14.5,14.699999809265137,15.300000190734863,6500.0,15.300000190734863
2018-10-03,15.399999618530273,14.800000190734863,15.399999618530273,14.800000190734863,4100.0,14.800000190734863
2018-10-04,15.399999618530273,14.600000381469727,15.0,14.699999809265137,4600.0,14.699999809265137
2018-10-05,15.100000381469727,13.600000381469727,14.800000190734863,14.0,16100.0,14.0
2018-10-08,15.0,13.899999618530273,13.899999618530273,15.0,7600.0,15.0
2018-10-09,15.0,14.199999809265137,14.899999618530273,14.199999809265137,3700.0,14.199999809265137
2018-10-10,14.800000190734863,14.199999809265137,14.300000190734863,14.199999809265137,3100.0,14.199999809265137
2018-10-11,14.5,13.600000381469727,14.199999809265137,13.800000190734863,9900.0,13.800000190734863
2018-10-12,14.5,13.699999809265137,13.899999618530273,14.5,2800.0,14.5
2018-10-15,14.600000381469727,13.800000190734863,14.600000381469727,13.899999618530273,11000.0,13.899999618530273
2018-10-16,14.199999809265137,13.800000190734863,14.0,14.0,6900.0,14.0
2018-10-17,14.0,13.0,14.0,13.600000381469727,21200.0,13.600000381469727
2018-10-18,13.800000190734863,13.399999618530273,13.600000381469727,13.399999618530273,5800.0,13.399999618530273
2018-10-19,13.600000381469727,13.100000381469727,13.600000381469727,13.399999618530273,5500.0,13.399999618530273
2018-10-22,13.399999618530273,12.899999618530273,13.0,12.899999618530273,14600.0,12.899999618530273
2018-10-23,13.800000190734863,12.0,12.899999618530273,13.100000381469727,55400.0,13.100000381469727
2018-10-24,13.800000190734863,12.800000190734863,13.300000190734863,13.0,9400.0,13.0
2018-10-25,13.800000190734863,13.199999809265137,13.5,13.600000381469727,10500.0,13.600000381469727
2018-10-26,13.800000190734863,11.5,13.800000190734863,12.300000190734863,17600.0,12.300000190734863
